regeste	string_before_first_verb
Etienne [II], évêque d’Autun, notifie que Renier de Cérilly et son épouse Hodierne, fille de Gérard Pilosus, approuvent la donation de ce dernier et réglementent les futures acquisitions par l’abbaye de Fontenay.	Etienne, évêque d’Autun
Etienne [II], évêque d’Autun, notifie le don fait par Mathilde, dame de Saint-Andeux, à l’abbaye de Fontenay.	Etienne, évêque d’Autun
Etienne [de Bâgé], évêque d’Autun, notifie l’accord intervenu entre Osmond de Rougemont et l’abbaye Notre-Dame de Fontenay.	Etienne, évêque d’Autun
Etienne [de Bâgé], évêque d’Autun, notifie l’accord intervenu entre Osmond de Rougemont et l’abbaye Notre-Dame de Fontenay.	Etienne, évêque d’Autun
Eudes, archiprêtre de Touillon, notifie le don d'un pré fait par André de Fontaines à l'abbaye de Fontenay à l'occasion de la croisade	Eudes, archiprêtre de Touillon
Eudes, archiprêtre de Touillon, notifie le don fait à Fontenay par Humbelinus Cornellus d’un pré chargé d’un cens de deux deniers.	Eudes, archiprêtre de Touillon
Robert, archiprêtre de Duesme, notifie l’engagement par Huet de Verres de deux pâtures au bénéfice de l’abbaye de Fontenay pour 100 s. de Dijon	Robert, archiprêtre de Duesme
Jacques, doyen de Dijon, notifie la vente de huit journaux et demi par son frère Bonvalet (Bonus Vasletus) à l’abbaye de Fontenay	Jacques, doyen de Dijon
Guillaume, doyen, et le chapitre d’Auxerre, notifient l’accord intervenu avec l’abbaye de Fontenay.	Guillaume, doyen, et le chapitre d’Auxerre
Thibaud, doyen de Moutier-Saint-Jean, notifie le don fait par Hugues de Corraboeuf à l'abbaye de Fontenay de divers biens	Thibaud, doyen de Moutier-Saint-Jean
A[rnaud], abbé de Cîteaux, sur une plainte faite au Chapitre général et enquête faite par décision dudit Chapitre, notifie l’accord intervenu entre l’abbaye de La Ferté et celle de Fontenay, qui reçoit 50 livres et abandonne à La Ferté les 15 jugères de terre qu’elle occupait près de Beaune. 	A, abbé de Cîteaux, sur une plainte
G[authier], évêque d’Autun, G[uillaume de Joinville], évêque de Langres, et G[uillaume de Seignelay], évêque d’Auxerre, notifient l’accord intervenu entre l’abbaye de Fontenay et André d’Epoisses à propos des possessions, en terre et en hommes, à Marmagne et d’une somme de 30 marcs d’argent.	G, évêque d’Autun, G, évêque de Langres, et G, évêque d’Auxerre
Concession faite par G[uy], abbé de Molesme, à la réquisition d’Etienne, évêque d’Autun, d’un lieu où il y avait un ermitage à la charge d’y bâtir une abbaye bénédictine.	Concession
Innocent [II] place l’abbaye de Fontenay, sous la direction de l’abbé Guillaume, sous la protection apostolique et lui confirme ses propriétés.	Innocent
"Etienne, évêque d’Autun, notifie diverses donations faites à l’abbaye de Fontenay. La donation de ""Bernardus, miles de Espiri"", date des années 1125-1136, d’après la présence parmi les témoins de l’évêque de Langres Villain"	Etienne, évêque d’Autun
Lucius [II] place l’abbaye de Fontenay, sous la direction de l’abbé Guillaume, sous la protection apostolique et lui confirme dîmes et dons énumérés dans l’acte.	Lucius  place l’abbaye de Fontenay, sous la direction de l’abbé Guillaume, sous la protection apostolique et lui
Eugène [III] place l’abbaye de Fontenay, sous la direction de l’abbé Guillaume, sous la protection apostolique et lui confirme dîmes et dons énumérés dans l’acte. 	Eugène
Eugène [III] confirme à l’abbé de Fontenay, Guillaume, l’accord intervenu grâce à Humbert [de Bâgé], évêque d’Autun, entre l’abbaye de Fontenay et celle de [Notre-Dame] d’Oigny.	Eugène
Eugène [III] confirme à Guillaume, abbé de Fontenay, le don de Rainaud de Rougemont.	Eugène
Humbert, évêque d’Autun, à la demande de Guillaume, abbé de Fontenay, confirme les dons faits par Richard d’Epiry au moment de son départ pour la croisade.	Humbert, évêque d’Autun, à la demande de Guillaume, abbé de Fontenay
Henri [Ier], comte palatin de Troyes, agissant pour lui et ses successeurs, dispense l’abbaye de Clairvaux et les abbayes dépendant d’elle de totu droit de tonlieu, péage ou coutume sur ses terres ; il leur permet de vendre et acheter en franchise à ses foires pour leur usage seulement.	Henri, comte palatin de Troyes
Lettre de B[ernard], abbé de Saint-Martin d’Autun, à H[enri], évêque d’Autun, par laquelle il atteste que les moines de Fontenay tiennent leurs terres des Fraignes de son abbaye, et qu’il témoignera en justice contre Obert de Thil, ce qu’il aurait déjà fait s’il avait pu.	Lettre de B, abbé de Saint-Martin d’Autun, à H, évêque d’Autun, par laquelle il
Alexandre [III]ordonne aux abbé, religieux et habitants de Flavigny de rendre incessamment les vignes et dîmes prises à l’abbaye de Fontenay, et de rendre les dommages à celle-ci, sauf à en répondre devant les évêque de Belley et de Saint-Jean de Maurienne.	Alexandreordonne aux abbé, religieux et habitants de Flavigny de
Alexandre [III] confirme à l’abbé Bernard (1169-1183) et aux religieux de Fontenay un compromis passé avec les religieux de Saint-Martin d’Autun par l’intermédiaire de l’archevêque de Lyon et de l’évêque d’Autun (voir acte n°52@@). 	Alexandre
Lucius [III], suivant l’exemple d’Eugène [III] et Alexandre [III], place l’abbaye de Fontenay, sous la direction de l’abbé Bernard, sous la protection apostolique et lui confirme dîmes, dons et autres privilèges énumérés dans l’acte.	Lucius
Lucius [III], suivant l’exemple d’Eugène [III] et Alexandre [III], place l’abbaye de Fontenay, sous la direction de l’abbé Bernard, sous la protection apostolique et lui confirme dîmes, dons et autres privilèges énumérés dans l’acte.	Lucius
Lucius [III] confirme à l’abbaye de Fontenay certains dons énumérés dans l’acte.	Lucius
Donation de cinq muids de froment de rente, sur le produit de l’éminage d’Autun, faite par Hugues III, duc de Bourgogne, à l’abbaye de Fontenay.	Donation de cinq muids de froment de rente, sur le produit de l’éminage d’Autun
Gauthier, évêque d’Autun, notifie que Jean de Fontaine [-en-Duesmois] et son frère André, ont cédé en aumône à l’église de Fontenay la dîme qu’ils possédaient sur les vignes de Flavigny et d’Alise et qui leur venait du chef de leur mère.	Gauthier, évêque d’Autun
Accord intervenu entre Fontenay et une autre partie non mentionnée sur les pâturages de Juvency.	Accord
Mathilde [de Bourgogne], comtesse d’Auvergne [épouse du comte d'Auvergne Robert IV], donne son droit sur Thibaud Columcapre et ses héritiers à Marmagne	Mathilde, comtesse d’Auvergne
