id	regeste	first_ent	first_ent_label
1342_II_02	Eberhoechlaer, Pfarrer zu Sand Veit, zu gesammter Hand um 17 1/2 lb. Wiener d. ihre freieigene Gülte im Betrage von 7 ß. weniger 12 d., welche in dem Swaerczenpach1 auf drei Gütern in der Grueb,2 an der Alm,3 an der nidern Smaeltzenoed4 gelegen und an sand Michelstag zu zinsen sind.Bürgen: Diettreich von Muersteten und Ott von Muersteten, die Schwäger des Eberhart von Chaczenperg.Siegler: Eberhart von Chaczenperg (I.), Diettreich von Muersteten (II.) und Ott von Muersteten (III.) und der Ritter Nyclas der Ramsavaer (IV.).Zeugen: Diepolt der Cherspek und Vlreich am Hof.Datum: Di sach ist geschehen (1343) an unser vraeuentag ze der liechtmizze.	Sand Veit	LOC
1415_XII_24	Herzog Albrecht V. von Oesterreich verschiebt den Verhandlungstag in dem Streite zwischen Göttweig und den Fischern zu Krems wegen des Fischereirechtes in der Donau.	Albrecht V. von Oesterreich	PER
1341_VI_24	Marichart der Heusler und Anna seine Frau beurkunden, dass sie und ihre Holden zu Aerbenslag1 mit dem Abte Wulfing und dem Convente zu Chotweiga einen Streit um eine Weide und einen Wald, genannt der Ponperch, hatten, welcher zu der oeden dorfstat ze Pondorf2 gehört, welche beide sie von dem Stifte zu Burgrecht innezuhaben behaupteten. Da sie jedoch keine Urkunde als Beweis ihres Rechtes darüber vorzuweisen vermochten, entsagen sie nach der Entscheidung der Schiedsrichter ihren vermeintlichen Ansprüchen auf die bestrittenen Objecte, wogegen ihnen der Abt und Convent von Chotweig selbe ohne Leistung eines Zinses auf ihre Lebenszeit verleihen. Nach ihrem Tode fallen diese Objecte ohne weitere Ansprüche ihrer Erben an das Stift, welchem sie sich für den Fall, als wieder ein Streit entstehen sollte, sammt ihren Erben zur Gewähr setzen.Siegler: Marichart der Heusler (I.) und seine Brüder Fridreich (II.) und Ott (III.), und die erbern Herren: Weichhart von Topel (IV.), Landrichter in Oesterreich, Fridreich von Atzenprukke (V.), Chuenrat von Syerndorf (VI.), Burggraf zu Lengpach, Ott von Wildekk (VII.), Fridreich der Fleischezz (VIII.), welche ,der red taedinger' gewesen sind.Datum: geben (1341) an sand Johanstag ze suniwentten.	Heusler	PER
1431-1432	Vermerkcht, was ich brueder Lucas ausgeben hab auf die confirmacion gegen meinen herren von Passaw und auf all ander ausgeben dasselb a festo sancti Iohannis apostoli et ewangeliste in anno domini etc. tricesimo secundo:1 item domino Pataviensi CC lb. d.,a item magistro Dietmaro VIII flor., item Iohanni scriptori III flor., item magisto Conrado IIII flor., item domino Conrado et Casparo IIII flor., item ianitori domini episcopi I flor., item ad cancellariam XII flor. LX d., item cocis I flor., item camerario Rukchendarffer III ß. d., item Iohanni cantori LX d., item Iohann Paeler notario III flor., item pro expensis in via ad confirmandum facit XXIIII lb, XII d. Summa huius facit CCLXXVII flor. XLII d.	brueder Lucas	PER
1415_VIII_16-21	Der Minoritenconvent zu Stein verpflichtet sich, das durch die Mauer des Göttweigerhofes in Stein gebrochene Fenster auf Wunsch des Stiftes wieder zu vermauern.	Stein	PER
1443	Zw merckhen, das in disem jar 1443 gedachter her Thomama abbt des wirdigen gotzhaus unnser frawen zu Gottwei gelichen hat das geschlessl1 Reichenstorff undter dem Nusperg gelegen unnd desb holts zwischen Jenner und Kamer an dy Valbhaidt stossundt, wie lehensrecht ist zu Osterreich, laut brief und sidl zu den zeitten hertzogen Ernsten unnsers gnedigen hern unnd lanndsfursten.	Zw	LOC
1480_IX_28	Abt Andreas, Prior Benedict und der Convent des Benedictinerstiftes zum heil. Nicolaus in monte sancto Andezz nehmen Abt Lorenz, den Prior Michael, die Priorin Cecilia und den Mönchs- und Nonnenconvent in Göttweig auf deren Wunsch mit der Verpflichtung zur Gegenseitigkeit in ihre Gebetsverbrüderung auf und verpflichten sich, für einen verstorbenen Professen derselben nach der Sitte ihres Stiftes die Exequien mit Vigilien und Messen zu feiern, während die einzelnen Priester je eine Messe zu lesen, die Cleriker das ganze Todtenofficium und die Conversen und Oblaten 100 Paternoster und Ave Maria zu beten haben, und deren Namen zur jährlichen Commemoration in ihr Todtenbuch einzutragen.Siegler: (I.) Abt Andreas und (II.) der Convent in Andechs.Datum et roboratum etc. in profesto sancti Michaelis archangeli (1480).	Andreas	PER
1438_I_12	Ott von Toppel, Ruedolff von Schaefftenberg, Wïlhalm von Toppel und Kristan Chunttner, Mauthner zu Emerstarff, beurkunden, dass sie in dem Streite zwischen Abt Lucas zu Gottweig einerseits und dem edlen Hanns dem Lewbesdarfferl als Vertreter seiner Tochter Anna und Pernharts des Roerenpekchen, von welchem er bevollmächtigt ist, anderseits über die Ansprüche auf einen Hof und eine dabeiliegende Hofstätte zu Ekchendarff unter dem Gottweig und über etliche Burgrechte, welche der verstorbene Hanns der Roerenpekch und Elizabeth seine Frau hinterlassen haben, als beiderseits erwählte Schiedsrichter folgenden Ausgleich vereinbart haben: es hat der Abt Hanns dem Lewbesdarffer als Vertreter der Erben 18 lb. Wiener d. zu zahlen und eine Abschrift vorliegender Urkunde innerhalb 14 Tagen zuzusenden, wogegen letzterer bis zum künftigen sand Georgentag dem Abte den Verzicht auf seine Ansprüche mit Pernharts des Roerenpekchen Siegel zu beurkunden, den Gemächtbrief über diese Objecte und alle anderen darauf bezüglichen Urkunden zu übergeben hat, welcher bei der Uebernahme derselben die 18 lb. d. zu zahlen und den Schuldbrief des verstorbenen Hanns des Roerenpekchen, welcher in Gegenwart des Abtes zu vernichten ist, auszufolgen hat. Der gegen diesen Schiedspruch handelnde Theil verfällt König Albrecht [II.] mit 100 Gulden.Siegler: die vier benannten Schiedsrichter.Datum: Geben zu Sand Yppoelten am nagsten suntag nach sand Valenteintag2 (1438).	Ott von Toppel	PER
1402_XI_17.2	Papst Bonifaz IX. notifiziert den Vasallen des Stiftes Göttweig die Bestätigung der Wahl des Abtes Peter II.	Bonifaz IX.	PER
1432_III_23-IV_04	Item Vlricus Pliemergêr, clericus Frisingensis diocesis, supplicavit domino Luce abbati Gottwicensi pro provisione mense volens per eandem promoveri ad sacros clericorum ordines, cui per preces honestorum virorum sic provisum est ista condicione, quod dictus Vlricus Pliemerger prefatis domino abbati totique conventui monasterii Gott(wicensis) fide data promisit ac coram me Iohanne Grueber notario publico et coram testibus se obligavit vellens litteram provisionis facta promocione restituere et ubicumque necessitate videretur familiari, predictis dominis et monasterio semper vellet esse promptus et paratus. Actum feria sexta ante iudica in capitulo monasterii prefati presentibus Nicolao camerario et Iohanne Chray testibus ad premissa vocatis specialiter et rogatis anno etc. XXXII.	Item Vlricus	LOC
1440_IX_26	Anno domini millesimo quadringentesimo quadragesimo an montag vor sand Michaelstag hat Kathrei, Peter des Knopfs burger zu Krembs eeleiche hawsfraw, mit irem guten willen und auch mit grundherrn hannden, des erwirdigen herrn, herrn Taman abbt unser frawn gotshaws zu Gott(weig) demselben Petern Knopf, irem eelichen mann und allen seinen erben lediklichen gemachet geschaffet und gegeben nach irem tod ir veldlehen in Mauttingerveld zunagst des Legel lehen gelegen mit aller zugehorung, davon man jerlichen dint dem gotshaws zu Gottweig newn phenning zu sand Margaretentag snitphenning und ain halben mut vogthabern zu sand Gilgentag an dy Tunaw Mauttinger mass und darauf IIII-j- phenning schreibphenning und zwen emer most im lesen, und muegen nu hinfur der obgenante Peter Knopph und sein erben nach der vorgenanten frawen tod allen iren frumb mit dem vorgeschriben veldlehen geschaffen an aller derselben frawen erben und mênikleichs von iren wegen irrung und hindernuss ungeverlich.	Anno domini millesimo quadringentesimo	PER
1058_X_26	König Heinrich IV. schenkt Cuno (von Rot) zehn Königshufen in Guzbretdesdorf in der Mark Kärnten und in der Grafschaft Ottokars (III.) als freies Eigen.	Heinrich IV.	PER
1409_XII_06	Vllreich der Velabrunner und Petronella seine Frau verzichlen zu Gunsten des Abtes Peter [II.] und des Stiftes zu Kottweig gegen eine Geldentschädigung auf alle ihre Ansprüche von wegen des guets, so der Swarcz Hennsel ingehabt hat, es sey gewesen an wismad an ekkern oder an pawmsteten, welches früher zu ihrem Hofe zu Velabrunn gehörte und das sie wieder zu demselben gekauft haben.Siegler: (I.) Vllreich der Velabrunner und (II.) der erber der Zacharias, Pfleger zu Hollnburg.Datum: Gebn (1409) an sand Niklastag.	Velabrunner	ORG
1261_VI_21.1	Bischof O(tto) von Passau, M. der Propst und das Capitel daselbst, die Aebte von Nieder-Altaich, von Göttweig, Chremsmunster und Gersten und die übrigen Prälaten sowie der Clerus der Passauer Diöcese berichten dem Papste über die Abhaltung einer Berathung der Tartarengefahr und bestellen wegen der Kürze der Zeit und der Gefahren des Weges den Magister Gottfried zu ihrem Procurator an der Curie.	Passau	LOC
1408_VII_30	Hainreich der Pâukenhoffaer beurkundet, dass ihm der edel Herr Ulreich der Velber, sein Herr, seine ledige Schwester Ursse, die Tochter der Christein der Hegneinyn zur Frau gegeben und ihm ihre Mitgift bezahlt hat, wofür er ihr als Widerlage seinen ganzen Besitz verschreibt, welcher ihr im Falle seines Todes ohne Leibeserben ganz gehören soll. Falls sie früher stirbt und Leibeserben hinterlässt, sollen er und seine Kinder den Besitz auf Lebenszeit zusammen innehaben. Stirbt jedoch er früher und hinterlässt unmündige Leibeserben, so soll Ulreich von Velben ihr Vormund sein. Im Falle ihres Todes ohne Nachkommen fällt ihr ganzer Besitz an Ulreich von Velben und dessen Erben.Siegler: (I.) der erber Chunrat der Nêwnchircher und (II.) Partlein der Mulbacher.Zeugen: der taiding und pet umb die insigel sind zêugen der edel her Lienhart der Schonstainer und Haug Pûrger von Mainperg, Hanns Salmoen von Lengdorf, Nicla Moslechen, Chûnrat Grennolt.Datum: geben dez nachsten mantags nach sand Jacobstag (1408).	Pâukenhoffaer	LOC
1401_III_31	Papst Bonifaz IX. bestätigt die auf Befehl Papst Urbans VI. von dem Passauer Official Leonhard Schawr verfügte Incorporation der Pfarren Nalb, Grünau und Mautern zum Stifte Göttweig.	Bonifaz IX.	PER
1428_III_03	Ulrich im Thurm verkauft Jakob dem Gebhart sein Haus zu Klosterneuburg.	Ulrich im Thurm	PER
1661_VI_09	Georg Ehrenreich Stettner verkauft den in der Pfarre Gansbach gelegenen Grabenhof dem Stifte Göttweig unter Abt Gregor Heller. Dazu das Dorf Pummenhofen [Pinnenhöfen], den Maierhof zu Hymberg [Himberg], 3/4 Weingarten zu Reichersdorf in der Wachau und 2/4 zu Bezendorf im Spilberg.	Georg Ehrenreich Stettner	PER
1339_IV_24	Pangraz von Jedenspeigen verkauft Abt Wolfgang von Göttweig seinen Besitz und Einkünfte zu Gösing.	Pangraz von Jedenspeigen	PER
1350.2	Nota: Otto Hinterchircher delegavit beneficium in Stanigesdorf1 pro remedio anime sue, quod servit VI solidos denariorum in die sancti Georii domino abbati et IIII metretas avene advocati ad Danubium. Item beneficium servit in die sancti Mihelis ecclesie sancti Petri2 in Intzesdorf III solidos denariorum et ecclesie sancti Viti ibidem XXX denarios.	Otto Hinterchircher	PER
1340_I_14	Herzog Albrecht II. bestätigt das dem Stifte Göttweig von seinem Vater verliehene Vogtei- und Gerichtsprivileg.	Albrecht II.	PER
1451_IV_20	Larencz zu Diepolczdorff, der Sohn des verstorbenen Vlreich im Lueg, beurkundet, dass ihm seine Frau Barbara, die Tochter des verstorbenen Andre des Kuersner zu Vdmerueld, 10 lb. d. zu haimsteur und hausvertigung und auch zu ainer frein morgengab zugebracht hat, wofür er ihr 15 lb. d. auf seinem Gute verheiratet. Er bestimmt, dass seine Frau, falls er vor ihr ohne Leibeserben stirbt, die 15 lb. d. auf Lebenszeit nach dem Landesrechte in Oesterreich und dem Rechte der Herrschaft Vdmerueld nutzniessen kann, und erhält im umgekehrten Falle das gleiche Recht auf ihre Mitgift. Sind aber nach dem Tode des einen oder anderen Leibeserben vorhanden, so treten sie vor dem Tode des anderen Ehetheiles das Erbe an. Nach dem kinderlosen Tode beider treten die nächsten Verwandten beider das Erbe gleichmässig an.Siegler: der edel Hanns von Rarbach, Kämmerer König Friedrich's IV. und Pfleger zu Vdmerueld, der ,geber' Merttein Giller, Kastner zu Vdmerueld.Datum: Geben an eritag vor sant Jorigstag (1451).	Larencz	LOC
1394_II_06	Abt Stefan von Lilienfeld unterwirft sich dem Schiedspruche des Ulrich von Sergau und Friedrieh von Hohenberg als Spruchleute in einem Streite zwischen dem Stifte Lilienfeld und dem Pfarrer Hanns zu Hainfeld.	Stefan von Lilienfeld	PER
1415_XI_07	Abt Jorig zu Liligenueld und sein Convent verlassen dem Thaman Planchk, Anne dessen Frau, Dorohea deren Tochter, Wolfgang deren Sohn und Margred der Chraczzerin ihren Weingarten, genannt der Luchensteyg zu Streczing zu Leibgeding, wofür diese zur Lesezeit jeden dritten Eimer Most in deren Hof zu Weinczurl ohne deren Mühe zu zinsen und den Weingarten mit Dünger, Stecken und Gruben in gutem Mitterbaue zu halten haben. Sie sollen dessentwegen den Weingarten jährlich vor der Lese durch rechtliche Leute beschauen lassen und sich desselben unterwinden, wenn etwas verabsäumt wurde. Nach dem Ableben des letzten der fünf Beliehenen wird derselbe wieder ledig.Siegler: (I.) der Abt und (II.) der Convent von Liligenueld.Datum: geben (1415) dez phincztags nach allerheiligentag.	Jorig	PER
1250_XI_14	Abt Heinrich III. von Göttweig verpfändet dem Ritter Albert von Weidling den Weinzehent des Stiftes zu Rechberg für eine Schuld von 18 lb. Wiener d. auf 6 Jahre, damit er sich davon bezahlt mache.	Heinrich III. von Göttweig	PER
1251	Abt Heinrich III. von Göttweig tauscht mit dem Stifte Osterhofen Güter und übergibt dem Propste daselbst einen Hof in Theiss und Zehente bei Krems, wofür er das Dorf Oberfucha erhält.	Heinrich III. von Göttweig	PER
1252	Abt Heinrich III. von Göttweig beurkundet, dass die Brüder Siboto und Konrad Umdankch vom Stifte St. Pölten einen Weingarten auf der Leitten1 zu Leibgeding innehaben.	Heinrich III. von Göttweig	PER
1256	Abt Heinrich III. verpfändet dem Wiener Juden Schalun drei Lehen zu Pettendorf für einen Satz von 18 lb. Wiener d.	Heinrich III.	PER
1276_VI_06	Abt Helmwik von Göttweig verleiht dem Bischofe Konrad II. von Freising die diesem von dem Kremser Bürger Gozzo verkauften Besitzobjecte zu Theiss zu Burgrecht.	Helmwik von Göttweig	PER
1277_XII_12	Abt Helmwich von Göttweig belehnt die Brüder Kolomann und Andreas von Eggenburg mit dem partiellen Zehentbezugsrechte vom Hofe des Stiftes in Pfaffendorf.	Helmwich von Göttweig	PER
1280_IX_24	Abt Hermann von Göttweig beurkundet die Verpachtung eines Hofes zu Hainfeld an den dortigen Pfarrer Dietmar seitens des Propstes Bernhard von Vorau.	Hermann von Göttweig	PER
1281_II_18	Chalhoch von Hohenberg erhält von Abt Hermann von Göttweig die Vogtei über die Stiftsgüter zu St. Veit a. d. Gölsen, deren er durch seine Bedrückung der Stiftsholden verlustig geworden war, abermals unter neu vereinbarten Bedingungen.	Chalhoch von Hohenberg	PER
1288_VIII_16	Abt Heinrich IV. von Göttweig bestimmt die Jahrtagsstiftung der Margaretha, der Witwe nach Otto von Wald, im Erträgnisse eines Talentes zu einem Frohmale für beide Convente zu Göttweig.	Heinrich IV. von Göttweig	PER
1289_X_14	Abt Heinrich von Göttweig und der Convent verkaufen dem Passauer Domherrn Heinrich von Inne um 35 lb. Wiener d. den Weinzehent in Loiben zu Leibgeding.	Heinrich von Göttweig	PER
1296_II_25	Abt Heinrich IV. von Göttweig verpflichtet sich durch Revers, dem Stiftshospitale zu Klosterneuburg von einem Weingarten 5 Urnen Wein zu zinsen.	Heinrich IV. von Göttweig	PER
1300_VII_25.4	Abt Heinrich IV. von Göttweig ersucht den Erzbischof Konrad IV. von Salzburg, dem von ihm ernannten Pfarrer von Petronell Friedrich von Plankenstein die Dispens vom Defectus aetatis zu ertheilen.	Heinrich IV. von Göttweig	PER
1300_VII_25.6	Abt Heinrich IV. von Göttweig ersucht den Bischof Heinrich Haus von Lavant, sein Bittgesuch um Altersdispens für den von ihm ernannten Pfarrer Friedrich von Petronell beim Erzbischof Konrad IV. von Salzburg zu unterstützen.	Heinrich IV. von Göttweig	PER
1309_IV_24	Abt Peter I. und der Convent zu Chotweig beurkunden, dass Heinrich Druchsetz von Vtzeinsdorf mit Zustimmung seiner Erben eine Gülte von l lb. Wiener d. zu Chůffarn dem Stifte zu seinem und seiner Verwandten Seelenheile schenkte mit der Bestimmung, dass dieselbe seiner Tochter Elspet, die im Frauenkloster daselbst Nonne ist, bis zu ihrem Ableben als Aufbesserung ihrer Pfründe zukommen, darnach aber ohneweiters an das Stift fallen solle.Siegler: Abt Peter (I.) und der Convent zu Chotweig (II.).Datum: gebn ze Chotweig (1309) an sand Gorgentag.	Peter I.	PER
1311_XI_02	Das Stift Göttweig schliesst mit dem Stifte Melk einen Confraternitätsvertrag.	Stift Göttweig	LOC
1312_V_01	Abt Peter [I.], Prior Helnwik und der Convent von Göttweig schliessen mit Abt Otto, Prior Gunther und dem Convente von St. Lambrecht eine Conföderation unter folgenden Bedingungen: Nach Bekanntgabe des Todes eines Priesters, Diacons oder einer Nonne durch den vom Kämmerer abgesandten und mit den Kleidern des Verstorbenen entschädigten Boten hat der Prior morgens ein Capitel zu berufen und ist abends unter feierlichem Geläute für denselben die maior vigilia zu beten und morgens die Requiemsmesse cum choro tonaliter zu halten, während die einzelnen Priester eine Messe zu lesen haben. Im Verhinderungsfalle ist dies am nächsten freien Tage nachzutragen. Die Nonnen haben gleichfalls abends unter feierlichem Geläute die maiores vigiliae zu singen und des Morgens eine jede das Psalterium zu lesen, was sie im Verhinderungsfalle am nächsten freien Tage nachzutragen haben. Die Cleriker haben einmal das Psalterium zu lesen, die Conversen 1000 Paternoster und Ave Maria zu beten und ist zwei Scolaren, welche einmal das Psalterium lesen, am Begräbnistage ein Mönchsmahl (prebenda) darzureichen. Für alle Verstorbenen unter der Diaconatsweihe ist die Vigilie und eine Messe gemeinsam zu begehen. Ausserdem verpflichten sie sich, für die verstorbenen gemeinsamen Priester und Wohlthäter zu einer Gedächtnisfeier mit der Vigilie und einer Messe am Freitag nach Allerheiligen, wobei die Priester je eine Messe zu lesen haben, während alle anderen ihren oben benannten Verpflichtungen nachzukommen haben und den Armen vier Mönchsportionen (prebende) zu geben sind. Letztere haben auch das Fest des Stifters Göttweig's, des seligen (beati) Altmann am Feste des heil. Ciricus und seiner Genossen, d. i. am 8. August, jährlich mit 7 Lichtern zu begehen, wobei den Brüdern 7 Gänge beim Essen darzureichen sind, während sie sich zur gleichen Feier deren Patrons, des seligen Lambert verpflichten.Siegler: (I.) Abt Peter [I.] und (II.) der Convent von Göttweig.Datum: Acta sunt autem hec in Chotwico (1312) Phylippi et Iacobi apostolorum.	Helnwik	PER
1313_III_25	Abt Peter [I.] und der Convent zu Goettweÿ verleihen ihrem Ministerialen Chunrat, dessen Frau Sophein und ihren Erben den Hof zu Furt an dem Berge, von dem früher 1 Mut Hafer an den Herzog an die Tunaeu und 10 Eimer Bier in den Stiftshof zu Furt zu zinsen waren, während sonstige Spanndienste und Steuern entfielen, mit dem freien Verfügungsrechte zu Burgrecht unter folgenden Bedingungen: es sind von dem Hofe in Zukunft dem Hersog an die Tunawe 1 Mut Hafer mit einem rechten gibmeczen dacz Furt und 10 d ausser dem Hafer und an unser frauen tag zu der liechtmess 1/2 lb d zu Zinsen, wogegen jede Forderung an Steuer und Ungelt erlassen wird. Beim Verkaufe des Hofes sind je 30 d zu Ableite und Anleite zu entrichten.Siegler: Abt Peter [I.] und der Convent zu Goettweÿ.Zeugen: Helnweich prior, der Hainreich brobst ze Rênna, der Walchuen, broebst ze Stain, der Hainreich pharrer, der Ott guster, der Peter caplan, der Albrecht pfistermaistêr unser goczhaus brueeder, und dise layen: unser diener Jacob unser schreiber, Wisent von Prunn, Herman sein brueder, Cunrad der Huernpekch, Leutwein sein brueder, Albrecht der richter, Peter sein aidem, Ulreich der Vorster, Engelschalich.Datum: geben ze Goettwey (1313) an unser frawen tag in der vasten.	Peter	PER
